"No.","Time","Source","SRCPORT","Destination","DSTPORT","Protocol","Length","Info"
"2917","27.266911000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"2941","27.356910000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"2946","27.386290000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"2950","27.401182000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"3052","28.191626000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"3055","28.210907000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"3060","28.227707000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"3176","28.990572000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"3179","29.021194000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"3180","29.036224000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"3584","32.384063000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"3591","32.411099000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"3593","32.426270000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"3900","34.696740000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"3902","34.721297000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"3905","34.740983000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"4441","38.708255000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"4446","38.741636000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"4448","38.756244000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"4693","40.464412000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"4700","40.497746000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"4702","40.511363000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"5174","43.972569000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"5180","44.007643000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"5186","44.021284000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"5443","45.915217000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","29","Sent Write Request, Handle: 0x0020 (Unknown)"
"5445","45.941176000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"5448","45.956353000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"5601","47.028774000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"5608","47.051381000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"5614","47.066118000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"6427","53.023733000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"6431","53.051217000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"6432","53.066315000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"7749","65.501238000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
